NGI ID	User ID	Mreads	>=Q30(%)
P21914_1001	V10F03-033_A	121.81	94.06
P21914_1002	V10F03-033_B	132.39	94.37
P21914_1003	V10F03-033_C	103.59	94.16
P21914_1004	V10F03-033_D	83.37	94.09
P21914_1005	V10F03-034_A	113.75	93.11
P21914_1006	V10F03-034_B	110.14	93.43
P21914_1007	V10F03-034_C	101.49	93.15
P21914_1008	V10F03-034_D	93.03	93.44
P21914_1009	V10F03-035_A	105.25	93.29
P21914_1010	V10F03-035_B	143.16	93.10
P21914_1011	V10F03-035_C	76.49	93.61
P21914_1012	V10F03-035_D	92.63	93.26
P21914_1013	V10J20-071_A	146.23	93.34
P21914_1014	V10J20-071_B	124.69	93.80
P21914_1015	V10J20-071_C	127.59	93.55
P21914_1016	V10J20-071_D	113.71	93.43
P21914_1017	V10J20-073_A	109.34	93.62
P21914_1018	V10J20-073_B	111.57	93.38
P21914_1019	V10J20-073_C	110.72	93.44
P21914_1020	V10J20-073_D	101.18	93.71
P21914_1021	V10J20-074_A	120.64	93.54
P21914_1022	V10J20-074_B	131.18	93.92
P21914_1023	V10J20-074_C	90.06	93.57
P21914_1024	V10J20-074_D	112.75	93.83
P21914_1025	V10J20-084_A	184.41	93.93
P21914_1026	V10J20-084_B	138.88	93.68
P21914_1027	V10J20-084_C	90.52	93.70
P21914_1028	V10J20-084_D	92.68	93.76
P21914_1029	V10F03-036_A	132.00	93.18
P21914_1030	V10F03-036_B	135.87	93.08
P21914_1031	V10F03-036_C	136.60	93.46
P21914_1032	V10F03-036_D	166.53	93.42
P21914_1033	V10J20-070_A	109.21	92.62
P21914_1034	V10J20-070_B	115.33	93.26
P21914_1035	V10J20-070_C	61.50	91.97
P21914_1036	V10J20-070_D	138.67	93.52
P21914_1037	V10J20-083_A	109.49	92.91
P21914_1038	V10J20-083_B	124.14	92.37
P21914_1039	V10J20-083_C	123.53	93.27
P21914_1040	V10J20-083_D	135.25	93.28
P21914_1041	V10J20-085_A	124.29	93.76
P21914_1042	V10J20-085_B	106.88	93.04
P21914_1043	V10J20-085_C	123.05	92.60
P21914_1044	V10J20-085_D	88.94	92.92
P21914_1045	V10J20-086_A	144.06	93.76
P21914_1046	V10J20-086_B	99.28	93.06
P21914_1047	V10J20-086_C	198.10	93.70
P21914_1048	V10J20-086_D	115.53	93.26
