NGI ID	User ID	Mreads	>=Q30(%)
P21914_1001	V10F03-033-A	121.81	94.06
P21914_1002	V10F03-033-B	132.39	94.37
P21914_1003	V10F03-033-C	103.59	94.16
P21914_1004	V10F03-033-D	83.37	94.09
P21914_1005	V10F03-034-A	113.75	93.11
P21914_1006	V10F03-034-B	110.14	93.43
P21914_1007	V10F03-034-C	101.49	93.15
P21914_1008	V10F03-034-D	93.03	93.44
P21914_1009	V10F03-035-A	105.25	93.29
P21914_1010	V10F03-035-B	143.16	93.10
P21914_1011	V10F03-035-C	76.49	93.61
P21914_1012	V10F03-035-D	92.63	93.26
P21914_1013	V10J20-071-A	146.23	93.34
P21914_1014	V10J20-071-B	124.69	93.80
P21914_1015	V10J20-071-C	127.59	93.55
P21914_1016	V10J20-071-D	113.71	93.43
P21914_1017	V10J20-073-A	109.34	93.62
P21914_1018	V10J20-073-B	111.57	93.38
P21914_1019	V10J20-073-C	110.72	93.44
P21914_1020	V10J20-073-D	101.18	93.71
P21914_1021	V10J20-074-A	120.64	93.54
P21914_1022	V10J20-074-B	131.18	93.92
P21914_1023	V10J20-074-C	90.06	93.57
P21914_1024	V10J20-074-D	112.75	93.83
P21914_1025	V10J20-084-A	184.41	93.93
P21914_1026	V10J20-084-B	138.88	93.68
P21914_1027	V10J20-084-C	90.52	93.70
P21914_1028	V10J20-084-D	92.68	93.76
P21914_1029	V10F03-036-A	132.00	93.18
P21914_1030	V10F03-036-B	135.87	93.08
P21914_1031	V10F03-036-C	136.60	93.46
P21914_1032	V10F03-036-D	166.53	93.42
P21914_1033	V10J20-070-A	109.21	92.62
P21914_1034	V10J20-070-B	115.33	93.26
P21914_1035	V10J20-070-C	61.50	91.97
P21914_1036	V10J20-070-D	138.67	93.52
P21914_1037	V10J20-083-A	109.49	92.91
P21914_1038	V10J20-083-B	124.14	92.37
P21914_1039	V10J20-083-C	123.53	93.27
P21914_1040	V10J20-083-D	135.25	93.28
P21914_1041	V10J20-085-A	124.29	93.76
P21914_1042	V10J20-085-B	106.88	93.04
P21914_1043	V10J20-085-C	123.05	92.60
P21914_1044	V10J20-085-D	88.94	92.92
P21914_1045	V10J20-086-A	144.06	93.76
P21914_1046	V10J20-086-B	99.28	93.06
P21914_1047	V10J20-086-C	198.10	93.70
P21914_1048	V10J20-086-D	115.53	93.26
